602AZ008054 8140000393370084191BULLHEAD CITY           ARIZ  090326150A001A08FWN26MWN90AQ99 000000
602AZ008054 8140000393370084191BULLHEAD CITY           ARIZ  100227150A001A01MWH23MWH90AQ41 000000
602AZ010009A8140003662690109061PIMA                    ARIZ  030205151A001A55FWU56MWU12GF99 000000
602AZ010009A8140003662690109061PIMA                    ARIZ  030205151A002A26MWH52MWU14ST05 000000
602AZ010009A8140003662690109061PIMA                    ARIZ  051120140A001A38MWU37MWU20AQ44 000000
602AZ010009A8140003662690109061PIMA                    ARIZ  051120140A002A89MWU57MWU85FA45 000000
602AZ010009A8140003662690109061PIMA                    ARIZ  051120140A003A31MWH00MWH12ST70 000000
602AZ010009A8140003662690109061PIMA                    ARIZ  060114150A001A23FWU23MWU80GF43 000000
602AZ010009A8140003662690109061PIMA                    ARIZ  060114150A002B13FWH00UUU90UN99 000000
602AZ010009A8140003662690109061PIMA                    ARIZ  070121150A001A75MWU52MWU30FR44 000000
602AZ010009A8140003662690109061PIMA                    ARIZ  070121150A002A76FWU77MWU12WI26 000000
602AZ010009A8140003662690109061PIMA                    ARIZ  090326150A002B72MWU00UUU12UN99 000000
602AZ010009A8140003662690109061PIMA                    ARIZ  100227150A001B00MUU00UUU11UN99 000000
602AZ010016 8140000057070109061SOUTH TUCSON            ARIZ  021015140A001B32MIU00UUU12UN10 000000
602AZ010016 8140000057070109061SOUTH TUCSON            ARIZ  041113140A001A43MBU44MBU90UN99 000000
602AZ010016 8140000057070109061SOUTH TUCSON            ARIZ  100227150A001A22MWU36MWN20UN45 000000
602AZ010016 8140000057070109061SOUTH TUCSON            ARIZ  120410150A001A22FWH32MWH12UN80A000000
602AZ010031B8140005273280109060TUCSON                  ARIZ  011010140A001D46FUU28MBN90AQ45 00100032MWH
602AZ010031B8140005273280109060TUCSON                  ARIZ  011010140A002B35MWH00UUU12UN99 000000
602AZ010031B8140005273280109060TUCSON                  ARIZ  021211151A001B39MBN00UUU12UN99 000000
602AZ010031B8140005273280109060TUCSON                  ARIZ  021211151A002C44MWN28MWN12ST81A000002                                                  27MWH12ST81A35MWN12ST81A
602AZ010031B8140005273280109060TUCSON                  ARIZ  031023140A001C03MWN39FWH90SO99 000001                                                  45MWH90SO99
602AZ010031B8140005273280109060TUCSON                  ARIZ  031023140A002A34MBN32MBN90AQ46 000000
602AZ010031B8140005273280109060TUCSON                  ARIZ  031023140A003A43FWN26MBN90AQ99 000000
602AZ010031B8140005273280109060TUCSON                  ARIZ  041113140A001B48MWH00UUU90UN99 000000
602AZ010031B8140005273280109060TUCSON                  ARIZ  041113140A002B21MWH00UUU90UN99 000000
602AZ010031B8140005273280109060TUCSON                  ARIZ  041113140A003C35MWH29MWH13ST81E000004                                                  38MWH13ST81E38MWN12ST81E40MWH12ST81E48MWH12ST81E
602AZ010031B8140005273280109060TUCSON                  ARIZ  041113140A004B36MWH00UUU12UN99 000000
602AZ010031B8140005273280109060TUCSON                  ARIZ  051120140A001A28MWH29MBN12AQ45 000000
602AZ010031B8140005273280109060TUCSON                  ARIZ  051120140A002A31MWH38MWH12AQ44 000000
602AZ010031B8140005273280109060TUCSON                  ARIZ  051120140A003F23MWH00UUU90UN99 00100020FUU
602AZ010031B8140005273280109060TUCSON                  ARIZ  051120140A004C28MWN37MWN12ST81A000001                                                  41MWN12ST81A
602AZ010031B8140005273280109060TUCSON                  ARIZ  060114150A001B35MWH00UUU12UN99 000000
602AZ010031B8140005273280109060TUCSON                  ARIZ  060114150A002A32MWN40MWN20AQ99 000000
602AZ010031B8140005273280109060TUCSON                  ARIZ  060114150A003A41MWH51MWN12ST42 000000
602AZ010031B8140005273280109060TUCSON                  ARIZ  070121150A001A03FWH22MWH90AQ41 000000
602AZ010031B8140005273280109060TUCSON                  ARIZ  070121150A002A50FWH51MWH12WI45 000000
602AZ010031B8140005273280109060TUCSON                  ARIZ  070121150A003B32MBN00UUU12UN46 000000
602AZ010031B8140005273280109060TUCSON                  ARIZ  070121150A004A66MWH16MWH20AQ99 000000
602AZ010031B8140005273280109060TUCSON                  ARIZ  080205150A001B42MBN00UUU12UN46 000000
